,AIBeta_3_0.35,AIBeta_3_0.40,AIBeta_3_0.45,AIBeta_3_0.50,AIBeta_4_0.35,AIBeta_4_0.40,AIBeta_4_0.45,AIBeta_4_0.50,AIBeta_5_0.35,AIBeta_5_0.40,AIBeta_5_0.45,AIBeta_5_0.50,AIBeta_6_0.35,AIBeta_6_0.40,AIBeta_6_0.45,AIBeta_6_0.50,AIBeta_7_0.35,AIBeta_7_0.40,AIBeta_7_0.45,AIBeta_7_0.50,AIBeta_8_0.35,AIBeta_8_0.40,AIBeta_8_0.45,AIBeta_8_0.50,AIBeta_9_0.35,AIBeta_9_0.40,AIBeta_9_0.45,AIBeta_9_0.50,AIBeta_10_0.35,AIBeta_10_0.40,AIBeta_10_0.45,AIBeta_10_0.50,AIBeta_11_0.35,AIBeta_11_0.40,AIBeta_11_0.45,AIBeta_11_0.50,AIBeta_12_0.35,AIBeta_12_0.40,AIBeta_12_0.45,AIBeta_12_0.50
start,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00
end,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00
rf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_return,156.11532324474436,177.07070136765478,240.10728004302302,265.61520886263696,195.2417482287705,177.1559070793376,178.1019712296853,183.52607568557843,198.61857128392043,211.68980593036827,206.93096137361331,213.52950189723094,221.3250182350909,244.7107276150468,237.64559495490735,251.7017858284107,206.5689564104289,191.58294004448774,190.7061119619722,247.46875018271191,185.96033259036912,183.43216666703884,188.11866834861863,187.72880092484908,238.08757646771977,206.77984763526666,198.70432262500955,180.98133762415887,243.2425129657264,213.12450986838422,192.4823727075022,183.01930251387657,221.6258984270292,220.45980012564098,228.89427135615642,230.28208348944176,204.58044597746925,180.35056704591028,171.84838168779388,160.52711210857066
cagr,0.15582088818265727,0.15997220075615748,0.170082725462668,0.17345712415350367,0.163204256644097,0.15998809107727663,0.16016403165264403,0.161155656899594,0.16377268888328178,0.165888331892726,0.16513309125428322,0.1661759049119138,0.16736846410074246,0.17071660020468826,0.16973892121865286,0.17165751102567772,0.1650749548520929,0.16257753117384355,0.16242561972733327,0.17109086464217382,0.1615915112586641,0.161138730790777,0.16197337572895854,0.1619047125846671,0.16980090228362088,0.16510883501739104,0.16378700177239613,0.16069400869195682,0.17051569532496114,0.16611280455969513,0.1627326624318619,0.1610642169413823,0.16741367443122313,0.16723812426241835,0.16848816085222418,0.16868956409455227,0.16475384186808584,0.16057860910926336,0.158983896209566,0.15673782913296308
max_drawdown,-0.2938209837288366,-0.2890545686476488,-0.3076951716116977,-0.32412021394703516,-0.33629968995729276,-0.30528756506148236,-0.30783179698512864,-0.32396352555082686,-0.3343907545578684,-0.35487485809845887,-0.34800494700187634,-0.34842706226982567,-0.2758603328506527,-0.32868689527975137,-0.3450250265196537,-0.33534976729790367,-0.2683239802008375,-0.29033759729565534,-0.3198698655670207,-0.324170660784441,-0.268392721301845,-0.28935742276574583,-0.31342836077184155,-0.33473082497174744,-0.2684907725949992,-0.28944994816810565,-0.30940523120704744,-0.33567886473367614,-0.26876499075434757,-0.28944925427830204,-0.31080284564261207,-0.3383135389936933,-0.26866616586621406,-0.28977909728145934,-0.30784139750407924,-0.3245839045833451,-0.2685654736521731,-0.2891483064267122,-0.30785618417673866,-0.32466092700995375
calmar,0.53032593589865,0.553432528344363,0.552763712773847,0.5351629324231179,0.48529410379421567,0.5240570183232205,0.5202972312193648,0.4974500034396933,0.4897644048198106,0.46745585974056475,0.4745136317082092,0.47693168214134124,0.6067145006721704,0.5193897373346397,0.4919611859198973,0.5118760403766375,0.6152076110697827,0.5599603106458455,0.5077865632619308,0.5277802260949876,0.6020711384230572,0.5568847318675131,0.5167795770940657,0.48368629509496913,0.6324273294105137,0.5704227486041896,0.5293608034144495,0.4787135133439207,0.6344416169917505,0.5738926672099132,0.5235880710660737,0.4760797259857365,0.6231289819894517,0.5771228008898853,0.5473213226625621,0.5197101942287992,0.6134587578500998,0.5553503359355272,0.5164226167316299,0.48277392224706384
mtd,-0.015186740094372597,-0.014050213592273209,-0.013181225123823137,-0.012443575312412358,-0.014345851351228123,-0.013241565564941049,-0.012621845159468403,-0.012121880465112422,-0.014344350030361719,-0.012743438006315944,-0.012174408362767952,-0.011718212384512317,-0.016548306834097026,-0.018167817495275074,-0.019722709292815388,-0.019049900774003148,-0.016551739646171848,-0.018169751153786717,-0.017406924522486822,-0.016837693782212115,-0.016545477732816782,-0.018166736412487006,-0.019789207237696393,-0.01895727788552204,-0.017185816184613345,-0.01746985557137637,-0.015920577186355755,-0.014953377404220092,-0.019278090419576732,-0.018033351457999558,-0.016694691074235823,-0.015850524871842686,-0.021024806364090765,-0.02156130299863268,-0.019685140405049983,-0.018544162613018722,-0.02430909304766271,-0.024856195365548728,-0.022287527894244152,-0.01956757293741007
three_month,-0.008151836916854616,-0.011317941452456792,-0.010927850676068607,-0.010175674927467071,0.012428005395128672,0.020083235564941848,0.01959017637042426,0.019157452554036558,0.012516732978041789,0.01643958356813502,0.018006160812194638,0.020850174460206095,0.010180202900540669,0.01857504193583126,0.022978014915933098,0.024567906557990238,-0.000862534771530421,0.002338685164364529,0.008503432988918869,0.014194591468618123,-0.01168510072844342,-0.006029904820507137,-0.0009626736945060888,0.006499812617953404,-0.01763490389441802,-0.012255964363331762,-0.004269904373792821,0.0019463978845550844,-0.02185125137273458,-0.019750454115115113,-0.019418623157173798,-0.019198246423716037,-0.03713776548363279,-0.03644571450695533,-0.031947232173513695,-0.02568586639159598,-0.032512370551667225,-0.028515954086950734,-0.020998157746282553,-0.012478948231751885
six_month,0.04467543320573508,0.03501086127722264,0.03277133806646382,0.030423708142691464,0.0641181602750136,0.06681313245698983,0.06408508119928791,0.06297131518886467,0.08287086351623119,0.08354797266592273,0.08056748883667719,0.07863662913732616,0.08387066840516733,0.07843472797513074,0.07780582956487447,0.07668829694091062,0.04941918615227614,0.050003914679435324,0.0539437620676777,0.05167243504538255,0.06263254550124331,0.06180596086233048,0.06988205737640407,0.08109674834870106,0.05451480908370243,0.055568310409263466,0.0678014372981961,0.07773575405376976,0.051004747669511685,0.042722324518735144,0.0439561215799491,0.04546161797484638,0.030722800085663193,0.024539278421861432,0.029563471717712675,0.037747407823268464,0.026525551453305374,0.03228920523108658,0.03496108525409847,0.04326807753614448
ytd,0.11564531196313288,0.11209053398527358,0.11654680974205278,0.11716636288861393,0.1653343457640104,0.16891697640473047,0.16113147550575424,0.15533052023605087,0.15600300382082222,0.1604723455279795,0.16230847594465536,0.16741786804539194,0.16149526540209402,0.16216280634949398,0.16829987302472182,0.17475861300818218,0.13320050891440882,0.1427465878480414,0.1541449970963482,0.15858103474403862,0.14312105756159488,0.14450334570218004,0.15323413807458586,0.17153216369957502,0.1312077562370122,0.12936960609673176,0.1443385026829933,0.16426278512576076,0.13649587263778673,0.13971352243522195,0.15426891017520883,0.16916637919565236,0.11333235004552189,0.1186153038546327,0.13743408321637252,0.15799041726835084,0.09665164515808411,0.11656371559428891,0.12773210774039834,0.1434740883411274
one_year,0.40876580855842515,0.4261398141007846,0.4768238361767496,0.5355228302319577,0.48208685372811066,0.5410619709031117,0.5837725537510794,0.6311633755173736,0.4594558469592527,0.4756693650956174,0.4900372150493688,0.5173982069137748,0.46005652699980826,0.46227000285943465,0.4763363445756883,0.4860287037640645,0.39832784583742,0.4121865496326875,0.425669667759484,0.4297543071153975,0.43806058998933417,0.4970849450409114,0.5378947582748572,0.6004223405548361,0.30770291952699713,0.34242560270252276,0.39676034535352533,0.4632528685319277,0.26768256252051437,0.25350916799160084,0.2852817867929571,0.31690174907537894,0.24254235724795925,0.24354538923095626,0.25789475658453287,0.27481697678175077,0.22192624018557838,0.22472938690773803,0.2458948485234307,0.25381066889424564
three_year,0.16205913867718524,0.14882091434562184,0.14512775123574917,0.14505646157104857,0.17871504219254497,0.18107148758226987,0.1700247167453104,0.15980987268467128,0.14775518241746943,0.13548255881880422,0.11486516375046008,0.10718035054552022,0.16671572055125417,0.16538294225229389,0.1563699881513414,0.15673462052407094,0.1516684380074793,0.15754935500913692,0.15290909365693617,0.15535566034501902,0.1753313519674191,0.18586060345268196,0.17894665817484268,0.184953983688243,0.1594019450714952,0.15127572652358223,0.14800283040831785,0.15511546327864334,0.15112738340001508,0.13197769213123012,0.1299831524120243,0.12780277347306246,0.12145703361109894,0.10830339282361323,0.10109686862001999,0.09625679295092571,0.1292020276917707,0.10094854892593874,0.08963585373233185,0.08552715611861728
five_year,0.1339581358951163,0.13316648860911307,0.140058178108448,0.14448227581317608,0.15844628583117326,0.16023202107124135,0.15605223264566215,0.15291866875891036,0.14479067961343994,0.1314287811539956,0.11307881032407896,0.10516020277005733,0.14833630142824705,0.14232757293414777,0.13528258382563774,0.13827945933997965,0.13810949719871335,0.1410979841059583,0.1383072753851453,0.14249976029599498,0.14623982054534013,0.1607896813522347,0.15710593491850777,0.15684678846303268,0.14244408190490243,0.14232713286010434,0.13966451184495887,0.14639027794430426,0.14990659301961928,0.1401315252355717,0.13927176959282872,0.1396896949302402,0.1218005891839753,0.11793177338642291,0.11941936178492196,0.11998015692048325,0.12858759927516372,0.11564587913265933,0.1125466978373535,0.11050785952172437
ten_year,0.11892103331465687,0.10856018358852815,0.10055248826668706,0.0957346118684439,0.12295300137957588,0.11352218269282899,0.10437837648279036,0.09878586870068062,0.11834143318115675,0.10589355124776323,0.09363655696995865,0.08895802714024947,0.11498895110300955,0.1066949418725649,0.10071558329941577,0.10133387102932523,0.09925829784012885,0.09780553770635025,0.09572925460116988,0.10219175478897524,0.11726311275929824,0.12386694125727638,0.11737865884885168,0.11962294486341096,0.1202010513729539,0.1207927161349629,0.11560463749166394,0.11696971771528197,0.1308260398483454,0.121610451618269,0.11838533540139151,0.11730004598231569,0.11232953840979132,0.10634497062337633,0.10671112222708778,0.10504122207881639,0.11493939600967717,0.10484091990219069,0.10365497810624102,0.10176978424760841
incep,0.15582088818265727,0.15997220075615748,0.170082725462668,0.17345712415350367,0.163204256644097,0.15998809107727663,0.16016403165264403,0.161155656899594,0.16377268888328178,0.165888331892726,0.16513309125428322,0.1661759049119138,0.16736846410074246,0.17071660020468826,0.16973892121865286,0.17165751102567772,0.1650749548520929,0.16257753117384355,0.16242561972733327,0.17109086464217382,0.1615915112586641,0.161138730790777,0.16197337572895854,0.1619047125846671,0.16980090228362088,0.16510883501739104,0.16378700177239613,0.16069400869195682,0.17051569532496114,0.16611280455969513,0.1627326624318619,0.1610642169413823,0.16741367443122313,0.16723812426241835,0.16848816085222418,0.16868956409455227,0.16475384186808584,0.16057860910926336,0.158983896209566,0.15673782913296308
daily_sharpe,0.9776640043139404,1.0029534483579992,1.023486297959498,0.9952885524234976,0.991550084108837,0.9841796086038337,0.9571581599389792,0.9255813249395476,1.0035840535392457,1.0111190086001494,0.9734414931284192,0.9407837966211705,1.0138400361902495,1.0275522148808955,0.9952527718619909,0.9700158542707429,1.0231480939634041,0.9978541757554141,0.9629494945352648,0.9641093154807432,1.0129352243182799,0.9966041955270042,0.9644811787016737,0.9269720091245501,1.0644952573430548,1.0239196634425582,0.9780824677729956,0.9198686600790752,1.0627148438200051,1.0251103428510573,0.9710544185656146,0.9176092806364352,1.0501934708378413,1.0376840984598588,1.0065753102468216,0.964417539412391,1.0339321171446891,1.0006036059365537,0.9537233485770589,0.8986187960524911
daily_sortino,1.5562115064459507,1.5904912828751518,1.6223503640309387,1.5813627137176607,1.5769551211299468,1.5449652402935345,1.4920327406062708,1.4418989397393975,1.5960031679189621,1.5810959715257384,1.5092982156901487,1.4597728063730357,1.6030506306779528,1.6157661782300534,1.5583016204556082,1.5206050138479246,1.612368894532448,1.556739701632098,1.494166538059096,1.4976749023320128,1.5858792484196356,1.5453095510306727,1.4853486316763176,1.4236554105602688,1.6744692920222883,1.585477542670922,1.5008324562078819,1.4089738222741979,1.6722109145154653,1.5947510107070448,1.4953841768392313,1.4122239303837452,1.6496130326326721,1.6141829814138835,1.554540778028764,1.4882894605060315,1.624517316126583,1.552588918973799,1.4651647480288819,1.3762997166953748
daily_mean,0.15079916922824743,0.15416094367094801,0.16342533272640555,0.16762345966666534,0.15765366659581417,0.15474010969536858,0.15578820908808574,0.15793142202197685,0.15785141594352606,0.1597268293806744,0.1601872034356276,0.16241982974855454,0.16106839838325182,0.1639277723677347,0.1639829799288383,0.16675994428367424,0.1585716387654198,0.15687459276010313,0.15783827457305247,0.1664384380288696,0.1554753758583691,0.15551125699757007,0.15735022736492263,0.1586464490181484,0.1620301369139395,0.15860797745698552,0.15870447682740757,0.15769715138879545,0.16275695317520292,0.15953994146745726,0.15788058840628388,0.15814826589177614,0.16010712724736265,0.16028690138243312,0.16241925693871978,0.16404665093986048,0.15797042473065687,0.15485044662595338,0.1547448475148286,0.15453024631884965
daily_vol,0.15424437082969858,0.15370697804901615,0.1596751544717531,0.1684169472847922,0.15899717938857985,0.15722751044891525,0.16276119831441188,0.17062943878247744,0.1572876884470676,0.1579703556377694,0.16455760779296805,0.172643098586398,0.15886963685958339,0.1595323040462092,0.16476515772173847,0.1719146584558087,0.15498405333596954,0.15721194195669225,0.1639112699770696,0.17263440499574137,0.1534899489382515,0.15604114220624543,0.16314494345730832,0.17114481069172424,0.15221311301880425,0.15490275567491668,0.16226083388322377,0.17143442127405367,0.15315204649834507,0.1556319693582855,0.16258675660988803,0.17234815430603287,0.1524548873072213,0.154465989813598,0.1613582762117353,0.17009919898368123,0.15278606990844681,0.15475703436128946,0.1622533911387465,0.1719641821400574
daily_skew,-0.5895496295003103,-0.55814805864342,-0.4374271706353827,-0.2572750735616486,-0.5647174469569655,-0.7318290172136963,-0.7084264134310926,-0.5847492297696569,-0.5796821248801927,-0.7681751945308364,-0.7504582426205247,-0.6108217543052702,-0.6662523847131461,-0.6344072080033647,-0.5407951611498936,-0.3626242371612037,-0.7102280948465809,-0.7235146417766176,-0.6527109600054292,-0.519583872476668,-0.8046146980112696,-0.8292870663931711,-0.7717226974551366,-0.6804478033197745,-0.7690303078522587,-0.8458632460821576,-0.8028551820160963,-0.6699818923868593,-0.7256279603539424,-0.7502513203349759,-0.7252355642941084,-0.57052521820846,-0.7572088701149157,-0.7997984911075258,-0.7605409937034687,-0.6337095919819491,-0.7517743148929223,-0.8562068373729048,-0.8705147330012586,-0.7890610241997018
daily_kurt,37.51635110079461,52.86846971982266,62.38845876071702,67.25867171448088,35.7200207049974,51.04677664179415,61.7955399974721,68.61461290933535,36.8249143839141,50.34416837987706,59.5485875022106,66.10447403440264,34.85218372035843,47.30068258191639,56.11287092298678,62.639242073251374,37.32218542025292,49.897059582767376,58.207634306432276,62.67884151913359,39.019493746342405,52.01872099912341,59.75687972888546,65.62860370704512,40.28303544392789,54.067251162679014,61.993589262197865,67.03622371165656,39.19510549106189,52.169242794654295,60.24498052568946,63.461357554676816,39.904499014675004,53.88038024182113,62.657271391601746,68.2257144597446,40.21089517574014,55.253621226672486,64.23551019253888,69.36097808531805
